Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
6568a315aa5d2322f04f8dc0,6373b943edc58781ec916dc9,APPROVED,2023-11-30T14:58:34.886000Z,2023-11-30T15:50:54.956000Z,2023-11-30T16:29:51.293000Z,2023-11-30T15:50:56.258000Z,3141.0,565DE625,298,English,49,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
6568b8baaf2d80fa1ed26996,5fcaa3f3d991a9748f8b9e1c,RETURNED,2023-11-30T16:30:56.414000Z,,,2024-02-15T18:51:15.100000Z,,,4909,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
6568b8bb2ef6903ba4123c77,615914a33224dc31f1045612,APPROVED,2023-11-30T16:31:03.910000Z,2023-11-30T17:24:27.089000Z,2023-12-01T16:15:09.862000Z,2023-11-30T17:24:27.862000Z,3204.0,565DE625,3989,English,64,Male,White,United States,United States,United States,English,No,Full-Time,Not Applicable
6568b8bb6ab6ee801e72879d,63ea974c81ff0fffe7fb8613,RETURNED,2023-11-30T16:31:01.215000Z,,,2024-02-15T18:51:14.259000Z,,,4021,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
6568b8c17758975508eff0b4,62f18c2d37a5f255f351b61d,APPROVED,2023-11-30T16:31:07.640000Z,2023-11-30T17:22:02.676000Z,2023-12-01T16:15:13.249000Z,2023-11-30T17:22:03.472000Z,3056.0,565DE625,4386,English,50,Male,White,United States,United States,United States,English,No,Other,Not Applicable
6568b8c59fc926d13938ea94,62b35a7d9d9cd966ebcf3ef8,RETURNED,2023-11-30T16:31:05.576000Z,,,2024-02-15T18:51:15.296000Z,,,3334,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
6568b8cc6b9a08d3b4ad0d23,6543abd612dc7fc77f466814,APPROVED,2023-11-30T16:31:13.397000Z,2023-11-30T17:21:19.204000Z,2023-12-01T16:15:09.154000Z,2023-11-30T17:21:20.048000Z,3006.0,565DE625,1595,English,49,Male,White,United States,United States,United States,English,No,Full-Time,Not Applicable
6568b8d00d6ee01837c6b6ff,63a519bb6eeff2ad74314b53,RETURNED,2023-11-30T16:31:18.982000Z,,,2024-02-15T18:51:14.463000Z,,,3429,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
6568b8d0468b7384e18af242,5ceef5a66441f4000139711f,RETURNED,2023-11-30T16:32:17.044000Z,,,2024-02-15T18:51:14.877000Z,,,1572,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
6568b8d20b5d61502de284f1,64e36d981d00e7d7c45addc2,APPROVED,2023-11-30T16:31:17.043000Z,2023-11-30T17:16:18.666000Z,2023-12-01T16:15:01.350000Z,2023-11-30T17:16:19.575000Z,2702.0,565DE625,1469,English,49,Female,White,United States,United States,United States,English,No,Part-Time,Not Applicable
