Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
657c7fcc674bf4ad8705796d,6467c9e2d169d6933ecdb639,APPROVED,Not Applicable,2023-12-15T16:33:22.213000Z,2023-12-15T17:34:57.128000Z,2023-12-18T21:30:25.587000Z,2023-12-15T17:34:57.892000Z,3695.0,565DE625,763,English,53,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
657c8045212dc6bd9565c202,5f4f93bcb46af5055714d433,APPROVED,Not Applicable,2023-12-15T16:35:24.570000Z,2023-12-15T17:28:37.875000Z,2023-12-18T21:30:25.793000Z,2023-12-15T17:28:39.110000Z,3194.0,565DE625,2118,English,58,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
657c811b8201fdd1dc26d06e,650c3f3a36d72f87324d708f,APPROVED,Not Applicable,2023-12-15T16:42:51.876000Z,2023-12-15T17:39:17.896000Z,2023-12-18T21:30:26.330000Z,2023-12-15T17:39:18.679000Z,3387.0,565DE625,1561,English,54,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
657c81a961fa199f2f6815d7,5ab9d6b0e734400001d9b76a,APPROVED,Not Applicable,2023-12-15T16:41:18.905000Z,2023-12-15T17:35:44.703000Z,2023-12-18T21:30:26.526000Z,2023-12-15T17:35:45.424000Z,3266.0,565DE625,6207,English,56,Female,White,United States,United States,United States,English,No,Full-Time
657c820b349bd0d585ce266e,63fa2287bd13de487b3d7393,APPROVED,Not Applicable,2023-12-15T16:43:18.930000Z,2023-12-15T17:32:27.909000Z,2023-12-18T21:30:26.718000Z,2023-12-15T17:32:28.751000Z,2949.0,565DE625,243,English,57,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
657c827c119ebdafff34672a,63b5681c49af1cbe651420bc,APPROVED,Not Applicable,2023-12-15T16:47:43.872000Z,2023-12-15T17:34:56.724000Z,2023-12-18T21:30:26.925000Z,2023-12-15T17:34:57.462000Z,2833.0,565DE625,2857,"English, Italian",56,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
657c8352b570264054d37d4b,598ba20f716a2c000187ce01,APPROVED,Not Applicable,2023-12-15T16:57:27.145000Z,2023-12-15T17:51:37.035000Z,2023-12-18T21:30:27.135000Z,2023-12-15T17:51:37.869000Z,3250.0,565DE625,5197,English,53,Male,Black,United States,United States,United States,English,DATA_EXPIRED,Full-Time
657c84b9484dd384c3c15d09,654267202e0e2fbb27b8d733,RETURNED,Not Applicable,2023-12-15T16:54:40.241000Z,,,2024-02-15T18:49:08.703000Z,,,1020,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
657c85391a2c3da63e8e2299,63a3375101319bb7cb39f654,RETURNED,Not Applicable,2023-12-15T17:07:00.066000Z,,,2024-02-15T18:49:08.479000Z,,,1653,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
657c87c534fdea95a1c061d5,642f6ac1b10ead55a45175ab,RETURNED,Not Applicable,2023-12-15T17:07:25.739000Z,,,2024-02-15T18:49:09.279000Z,,,1701,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
657c8836ca07587fb0d7c8ef,651ec2aa595edca002b3f6d8,APPROVED,Not Applicable,2023-12-15T17:09:15.749000Z,2023-12-15T18:00:12.927000Z,2023-12-18T21:30:27.332000Z,2023-12-15T18:00:14.042000Z,3058.0,565DE625,746,English,53,Female,White,United States,United States,United States,English,Yes,Full-Time
