"subj_idx","trialNum","rt","intervalType","blockType","Switch","scaledRunningTime","Age","Age_2","Age_Years","response","congruency","SinceSwitch"
"5513256cfdf99b1607b1f47b",5,0.284,"Speed","Mixed","Switch",-0.564952001095717,-0.00244609044683658,9.03918250464642e-05,32,-1,"incongruent",0
"5513256cfdf99b1607b1f47b",6,0.262,"Speed","Mixed","Switch",-0.332777091295441,-0.00244609044683658,9.03918250464642e-05,32,-1,"incongruent",0
"5513256cfdf99b1607b1f47b",7,0.311,"Speed","Mixed","Switch",-0.110167439951356,-0.00244609044683658,9.03918250464642e-05,32,-1,"incongruent",0
"5513256cfdf99b1607b1f47b",9,0.254,"Speed","Mixed","Switch",0.378530310264956,-0.00244609044683658,9.03918250464642e-05,32,1,"incongruent",0
"5513256cfdf99b1607b1f47b",10,0.303,"Speed","Mixed","Switch",0.597661685806789,-0.00244609044683658,9.03918250464642e-05,32,1,"congruent",0
"5513256cfdf99b1607b1f47b",1,0.673,"Accuracy","Mixed","Switch",-1.43278181375742,-0.00244609044683658,9.03918250464642e-05,32,1,"incongruent",0
"5513256cfdf99b1607b1f47b",2,0.759,"Accuracy","Mixed","Switch",-1.14017186189303,-0.00244609044683658,9.03918250464642e-05,32,1,"congruent",0
"5513256cfdf99b1607b1f47b",3,0.709,"Accuracy","Mixed","Switch",-0.701474326334082,-0.00244609044683658,9.03918250464642e-05,32,1,"incongruent",0
"5513256cfdf99b1607b1f47b",4,0.73,"Accuracy","Mixed","Switch",-0.284516014539204,-0.00244609044683658,9.03918250464642e-05,32,1,"incongruent",0
"5513256cfdf99b1607b1f47b",5,0.522,"Accuracy","Mixed","Switch",0.141572771236584,-0.00244609044683658,9.03918250464642e-05,32,1,"congruent",0
"5513256cfdf99b1607b1f47b",6,0.701,"Accuracy","Mixed","Switch",0.477226386153837,-0.00244609044683658,9.03918250464642e-05,32,1,"incongruent",0
"5513256cfdf99b1607b1f47b",7,0.551,"Accuracy","Mixed","Switch",0.890706422146464,-0.00244609044683658,9.03918250464642e-05,32,1,"congruent",0
"5513256cfdf99b1607b1f47b",8,0.714,"Accuracy","Mixed","Switch",1.23896878684688,-0.00244609044683658,9.03918250464642e-05,32,1,"congruent",0
"5513256cfdf99b1607b1f47b",1,0.308,"Speed","Mixed","Switch",-1.43278181375742,-0.00244609044683658,9.03918250464642e-05,32,1,"congruent",0
"5513256cfdf99b1607b1f47b",6,0.285,"Speed","Mixed","Switch",-0.324081401789813,-0.00244609044683658,9.03918250464642e-05,32,1,"congruent",0
"5513256cfdf99b1607b1f47b",11,0.275,"Speed","Mixed","Switch",0.892010775572308,-0.00244609044683658,9.03918250464642e-05,32,1,"incongruent",0
"5513256cfdf99b1607b1f47b",12,0.253,"Speed","Mixed","Switch",1.12027262509505,-0.00244609044683658,9.03918250464642e-05,32,1,"congruent",0
"5513256cfdf99b1607b1f47b",15,0.272,"Speed","Mixed","Switch",1.79071028597899,-0.00244609044683658,9.03918250464642e-05,32,-1,"incongruent",0
"5513256cfdf99b1607b1f47b",1,0.283,"Speed","Mixed","Repeat",-1.43278181375742,-0.00244609044683658,9.03918250464642e-05,32,-1,"incongruent",1
"5513256cfdf99b1607b1f47b",3,0.278,"Speed","Mixed","Repeat",-1.09017164723567,-0.00244609044683658,9.03918250464642e-05,32,-1,"incongruent",1
"5513256cfdf99b1607b1f47b",5,0.293,"Speed","Mixed","Repeat",-0.627560965536241,-0.00244609044683658,9.03918250464642e-05,32,1,"congruent",1
"5513256cfdf99b1607b1f47b",7,0.288,"Speed","Mixed","Repeat",-0.177993818095257,-0.00244609044683658,9.03918250464642e-05,32,1,"congruent",1
"5513256cfdf99b1607b1f47b",8,0.265,"Speed","Mixed","Repeat",0.0559202296061449,-0.00244609044683658,9.03918250464642e-05,32,-1,"incongruent",1
"5513256cfdf99b1607b1f47b",13,0.303,"Speed","Mixed","Repeat",1.16809891737601,-0.00244609044683658,9.03918250464642e-05,32,1,"congruent",1
"5513256cfdf99b1607b1f47b",2,0.322,"Speed","Mixed","Repeat",-1.27408548027971,-0.00244609044683658,9.03918250464642e-05,32,1,"incongruent",2
"5513256cfdf99b1607b1f47b",3,0.317,"Speed","Mixed","Repeat",-1.02538876041874,-0.00244609044683658,9.03918250464642e-05,32,1,"incongruent",2
"5513256cfdf99b1607b1f47b",4,0.315,"Speed","Mixed","Repeat",-0.778865962934174,-0.00244609044683658,9.03918250464642e-05,32,-1,"incongruent",2
"5513256cfdf99b1607b1f47b",6,0.312,"Speed","Mixed","Repeat",-0.285820367965048,-0.00244609044683658,9.03918250464642e-05,32,1,"congruent",2
"5513256cfdf99b1607b1f47b",7,0.276,"Speed","Mixed","Repeat",-0.0414714928568923,-0.00244609044683658,9.03918250464642e-05,32,1,"incongruent",2
"5513256cfdf99b1607b1f47b",8,0.296,"Speed","Mixed","Repeat",0.187225141141133,-0.00244609044683658,9.03918250464642e-05,32,1,"incongruent",2
"5513256cfdf99b1607b1f47b",1,0.721,"Accuracy","Mixed","Switch",-1.43278181375742,-0.00244609044683658,9.03918250464642e-05,32,1,"congruent",0
"5513256cfdf99b1607b1f47b",2,0.659,"Accuracy","Mixed","Switch",-1.11930220707952,-0.00244609044683658,9.03918250464642e-05,32,1,"incongruent",0
"5513256cfdf99b1607b1f47b",3,0.631,"Accuracy","Mixed","Switch",-0.724083119048716,-0.00244609044683658,9.03918250464642e-05,32,1,"congruent",0
"5513256cfdf99b1607b1f47b",4,0.723,"Accuracy","Mixed","Switch",-0.341037996325788,-0.00244609044683658,9.03918250464642e-05,32,1,"incongruent",0
"5513256cfdf99b1607b1f47b",5,0.734,"Accuracy","Mixed","Switch",0.0820072981230298,-0.00244609044683658,9.03918250464642e-05,32,1,"congruent",0
"5513256cfdf99b1607b1f47b",6,0.747,"Accuracy","Mixed","Switch",0.509835221799943,-0.00244609044683658,9.03918250464642e-05,32,1,"incongruent",0
"5513256cfdf99b1607b1f47b",7,0.583,"Accuracy","Mixed","Switch",0.943315343655515,-0.00244609044683658,9.03918250464642e-05,32,1,"congruent",0
"5513256cfdf99b1607b1f47b",8,0.989,"Accuracy","Mixed","Switch",1.30549081156493,-0.00244609044683658,9.03918250464642e-05,32,1,"incongruent",0
"5513256cfdf99b1607b1f47b",9,0.702,"Accuracy","Mixed","Switch",1.84418877643861,-0.00244609044683658,9.03918250464642e-05,32,1,"incongruent",0
"5513256cfdf99b1607b1f47b",3,0.318,"Speed","Mixed","Switch",-1.06582371661991,-0.00244609044683658,9.03918250464642e-05,32,1,"congruent",0
"5513256cfdf99b1607b1f47b",4,0.536,"Speed","Mixed","Switch",-0.818866134660064,-0.00244609044683658,9.03918250464642e-05,32,1,"incongruent",0
"5513256cfdf99b1607b1f47b",6,0.271,"Speed","Mixed","Switch",-0.242341920436907,-0.00244609044683658,9.03918250464642e-05,32,1,"incongruent",0
"5513256cfdf99b1607b1f47b",8,0.279,"Speed","Mixed","Switch",0.218529623361394,-0.00244609044683658,9.03918250464642e-05,32,1,"congruent",0
"5513256cfdf99b1607b1f47b",10,0.283,"Speed","Mixed","Switch",0.685053365338354,-0.00244609044683658,9.03918250464642e-05,32,1,"incongruent",0
"5513256cfdf99b1607b1f47b",11,0.277,"Speed","Mixed","Switch",0.916793490663349,-0.00244609044683658,9.03918250464642e-05,32,1,"congruent",0
"5513256cfdf99b1607b1f47b",12,0.291,"Speed","Mixed","Switch",1.14592490913666,-0.00244609044683658,9.03918250464642e-05,32,1,"congruent",0
"5513256cfdf99b1607b1f47b",14,0.285,"Speed","Mixed","Switch",1.6081008063608,-0.00244609044683658,9.03918250464642e-05,32,1,"congruent",0
"5513256cfdf99b1607b1f47b",15,0.254,"Speed","Mixed","Switch",1.84071050063636,-0.00244609044683658,9.03918250464642e-05,32,1,"incongruent",0
"5513256cfdf99b1607b1f47b",1,0.802,"Accuracy","Mixed","Switch",-1.43278181375742,-0.00244609044683658,9.03918250464642e-05,32,1,"congruent",0
"5513256cfdf99b1607b1f47b",2,0.808,"Accuracy","Mixed","Switch",-1.08408466458173,-0.00244609044683658,9.03918250464642e-05,32,1,"incongruent",0
"5513256cfdf99b1607b1f47b",3,0.649,"Accuracy","Mixed","Switch",-0.62408268973399,-0.00244609044683658,9.03918250464642e-05,32,1,"incongruent",0
"5513256cfdf99b1607b1f47b",4,0.588,"Accuracy","Mixed","Switch",-0.233211446455997,-0.00244609044683658,9.03918250464642e-05,32,1,"congruent",0
"5513256cfdf99b1607b1f47b",5,0.619,"Accuracy","Mixed","Switch",0.13113794382983,-0.00244609044683658,9.03918250464642e-05,32,1,"congruent",0
"5513256cfdf99b1607b1f47b",1,1.418,"Accuracy","Mixed","Repeat",-1.43278181375742,-0.00244609044683658,9.03918250464642e-05,32,-1,"incongruent",1
"5513256cfdf99b1607b1f47b",2,1.169,"Accuracy","Mixed","Repeat",-0.816257427808376,-0.00244609044683658,9.03918250464642e-05,32,1,"congruent",1
"5513256cfdf99b1607b1f47b",4,1.232,"Accuracy","Mixed","Repeat",0.259399364037848,-0.00244609044683658,9.03918250464642e-05,32,1,"incongruent",1
"5513256cfdf99b1607b1f47b",5,0.798,"Accuracy","Mixed","Repeat",0.903749956404906,-0.00244609044683658,9.03918250464642e-05,32,1,"congruent",1
"5513256cfdf99b1607b1f47b",6,1,"Accuracy","Mixed","Repeat",1.35940408649983,-0.00244609044683658,9.03918250464642e-05,32,1,"incongruent",1
"5513256cfdf99b1607b1f47b",8,1.011,"Accuracy","Mixed","Repeat",2.36984320705384,-0.00244609044683658,9.03918250464642e-05,32,1,"congruent",1
"5513256cfdf99b1607b1f47b",1,1.628,"Accuracy","Mixed","Repeat",-1.43278181375742,-0.00244609044683658,9.03918250464642e-05,32,1,"incongruent",2
"5513256cfdf99b1607b1f47b",2,0.7,"Accuracy","Mixed","Repeat",-0.724952687999278,-0.00244609044683658,9.03918250464642e-05,32,1,"congruent",2
"5513256cfdf99b1607b1f47b",3,0.831,"Accuracy","Mixed","Repeat",-0.311907436481933,-0.00244609044683658,9.03918250464642e-05,32,1,"congruent",2
"5513256cfdf99b1607b1f47b",4,1.441,"Accuracy","Mixed","Repeat",0.158094581297278,-0.00244609044683658,9.03918250464642e-05,32,1,"incongruent",2
"5513256cfdf99b1607b1f47b",5,0.999,"Accuracy","Mixed","Repeat",0.893315128998152,-0.00244609044683658,9.03918250464642e-05,32,1,"incongruent",2
"5513256cfdf99b1607b1f47b",6,1.038,"Accuracy","Mixed","Repeat",1.43636093862464,-0.00244609044683658,9.03918250464642e-05,32,1,"incongruent",2
"5513256cfdf99b1607b1f47b",7,0.791,"Accuracy","Mixed","Repeat",1.9963633427871,-0.00244609044683658,9.03918250464642e-05,32,1,"incongruent",2
"5513256cfdf99b1607b1f47b",8,0.77,"Accuracy","Mixed","Repeat",2.44897398155506,-0.00244609044683658,9.03918250464642e-05,32,1,"congruent",2
"5513256cfdf99b1607b1f47b",2,1.297,"Accuracy","Mixed","Repeat",-0.794083419569024,-0.00244609044683658,9.03918250464642e-05,32,-1,"incongruent",1
"5513256cfdf99b1607b1f47b",3,1.01,"Accuracy","Mixed","Repeat",-0.121471836308673,-0.00244609044683658,9.03918250464642e-05,32,1,"incongruent",1
"5513256cfdf99b1607b1f47b",4,0.885,"Accuracy","Mixed","Repeat",0.426356602545911,-0.00244609044683658,9.03918250464642e-05,32,1,"congruent",1
"5513256cfdf99b1607b1f47b",5,0.965,"Accuracy","Mixed","Repeat",0.919836981990319,-0.00244609044683658,9.03918250464642e-05,32,1,"incongruent",1
"5513256cfdf99b1607b1f47b",6,0.591,"Accuracy","Mixed","Repeat",1.44810011945724,-0.00244609044683658,9.03918250464642e-05,32,1,"congruent",1
"5513256cfdf99b1607b1f47b",1,0.847,"Accuracy","Mixed","Repeat",-1.43278181375742,-0.00244609044683658,9.03918250464642e-05,32,1,"incongruent",2
"5513256cfdf99b1607b1f47b",2,1.283,"Accuracy","Mixed","Repeat",-1.06451936319406,-0.00244609044683658,9.03918250464642e-05,32,1,"congruent",2
