bonus,incorrectC1,incorrectC2,uniqueid,workerid
0.0,0.0,0.0,59c41e340c5fc800011940f3:TSS_RECONF_111022,59c41e340c5fc800011940f3
0.0,0.0,0.0,64050cfd151bc9945fd3eac9:TSS_RECONF_111022,64050cfd151bc9945fd3eac9
0.0,,,639c68bc52c767567d9cee5b:TSS_RECONF_111022,639c68bc52c767567d9cee5b
0.0,0.0,0.0,646b776eca37542a899c1de5:TSS_RECONF_111022,646b776eca37542a899c1de5
0.0,0.0,0.0,60f1fa8f73bf9815c88dc8cb:TSS_RECONF_111022,60f1fa8f73bf9815c88dc8cb
0.0,0.0,0.0,60ba46dc6d46a68f1c0bc952:TSS_RECONF_111022,60ba46dc6d46a68f1c0bc952
0.0,0.0,0.0,64d50be2a6946343b620b6c4:TSS_RECONF_111022,64d50be2a6946343b620b6c4
0.0,0.0,0.0,55b6d0a4fdf99b437183f9b5:TSS_RECONF_111022,55b6d0a4fdf99b437183f9b5
0.0,0.0,0.0,631f55697876499cef1a3ebb:TSS_RECONF_111022,631f55697876499cef1a3ebb
0.0,0.0,0.0,63626fe174f7db263a4aa8f2:TSS_RECONF_111022,63626fe174f7db263a4aa8f2
0.0,0.0,0.0,646691e373f0424399e2de28:TSS_RECONF_111022,646691e373f0424399e2de28
0.0,0.0,0.0,6509dae7b4546ad7146fd4ee:TSS_RECONF_111022,6509dae7b4546ad7146fd4ee
0.0,0.0,0.0,5d649652adc4e8001a2d258d:TSS_RECONF_111022,5d649652adc4e8001a2d258d
0.0,0.0,0.0,60a202f048762ada5381474a:TSS_RECONF_111022,60a202f048762ada5381474a
0.0,0.0,0.0,5cf6150ce42af100015a90c4:TSS_RECONF_111022,5cf6150ce42af100015a90c4
0.0,0.0,0.0,63bdb63007b7ff499cb0e839:TSS_RECONF_111022,63bdb63007b7ff499cb0e839
0.0,0.0,0.0,6466e6a8f3ab2a0f9c362e95:TSS_RECONF_111022,6466e6a8f3ab2a0f9c362e95
0.0,0.0,0.0,650da967bd0f006226aa1d7a:TSS_RECONF_111022,650da967bd0f006226aa1d7a
0.0,0.0,0.0,650b6a4edc2b618a85e5cdf8:TSS_RECONF_111022,650b6a4edc2b618a85e5cdf8
0.0,0.0,0.0,63c4a90d09909e33d5e82f21:TSS_RECONF_111022,63c4a90d09909e33d5e82f21
0.0,0.0,0.0,63ade94905e590dbf726b7fb:TSS_RECONF_111022,63ade94905e590dbf726b7fb
0.0,0.0,0.0,6530254e79568ee55c08cf12:TSS_RECONF_111022,6530254e79568ee55c08cf12
0.0,0.0,0.0,6476c9f4663c454f80fc60c8:TSS_RECONF_111022,6476c9f4663c454f80fc60c8
0.0,0.0,0.0,5ef6308c40846d2dfca0b66a:TSS_RECONF_111022,5ef6308c40846d2dfca0b66a
0.0,,,651867da917e66a428e7928b:TSS_RECONF_111022,651867da917e66a428e7928b
0.0,0.0,0.0,6462ad7a6af483d279eefb98:TSS_RECONF_111022,6462ad7a6af483d279eefb98
0.0,0.0,0.0,63bed6e176fba857a47fbaff:TSS_RECONF_111022,63bed6e176fba857a47fbaff
0.0,0.0,0.0,610825130bf4669d1b167efe:TSS_RECONF_111022,610825130bf4669d1b167efe
0.0,,,5f435065ffd8ca5acb7068f1:TSS_RECONF_111022,5f435065ffd8ca5acb7068f1
0.0,0.0,0.0,61081625938d8ffb2440498f:TSS_RECONF_111022,61081625938d8ffb2440498f
0.0,0.0,0.0,60ff0201788cef38c8695833:TSS_RECONF_111022,60ff0201788cef38c8695833
0.0,0.0,0.0,5e1a72b0d370f42ef4051dc1:TSS_RECONF_111022,5e1a72b0d370f42ef4051dc1
0.0,0.0,0.0,5cd34d42fe890a00174debb5:TSS_RECONF_111022,5cd34d42fe890a00174debb5
0.0,0.0,0.0,6568ae9ae8820204f4956bf7:TSS_RECONF_111022,6568ae9ae8820204f4956bf7
0.0,0.0,0.0,616604bed27acb2f4e2841a9:TSS_RECONF_111022,616604bed27acb2f4e2841a9
0.0,0.0,0.0,62e05742fafd80b3f0c2e20b:TSS_RECONF_111022,62e05742fafd80b3f0c2e20b
0.0,0.0,0.0,60e269b58d238fbba93aed38:TSS_RECONF_111022,60e269b58d238fbba93aed38
0.0,0.0,0.0,655cc974613aec120f21293b:TSS_RECONF_111022,655cc974613aec120f21293b
0.0,0.0,0.0,631c26a9aca573805b1907d9:TSS_RECONF_111022,631c26a9aca573805b1907d9
0.0,0.0,0.0,655f8e10ad0a87d538a94f9f:TSS_RECONF_111022,655f8e10ad0a87d538a94f9f
0.0,0.0,0.0,613ea8344b072de7f3ccb5dc:TSS_RECONF_111022,613ea8344b072de7f3ccb5dc
0.0,0.0,0.0,656cc02d2d90244628b27e09:TSS_RECONF_111022,656cc02d2d90244628b27e09
0.0,0.0,0.0,6547e7cd0511efc35646ac76:TSS_RECONF_111022,6547e7cd0511efc35646ac76
